# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/bit/project/yeast_stress/data/Saccharomyces_cerevisiae.R64-1-1.59.gtf" "-o" "/home/bit/project/yeast_stress/results/counts/gene_counts.txt" "/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam
YBL037W	II	147209	150286	+	3078	701	680	603	916	994	821
YBR019C	II	276253	278352	-	2100	347	335	398	485	504	401
YBR022W	II	283738	284271	+	534	233	284	211	377	385	366
YBR121C-A	II	482326	482484	-	159	0	0	0	0	0	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	297	263	193	393	476	530
YBL022C	II	177874	181275	-	3402	2469	2047	2260	5932	4846	3740
snR161	II	307185	307345	-	161	10	3	7	5	7	1
YBR243C	II	705447	706793	-	1347	1963	1690	2045	4369	3854	2921
YBR234C	II	685438	686592	-	1155	3171	2940	3356	11512	8487	6919
YBR179C	II	586547	589114	-	2568	647	539	534	815	1202	1070
YBR247C	II	713004	714455	-	1452	2393	1818	1866	127	118	107
YBR124W	II	486507	486866	+	360	0	0	0	2	3	2
YBL086C	II	61202	62602	-	1401	277	216	187	938	1115	1320
YBL065W	II	99963	100307	+	345	1	1	3	49	31	33
YBR227C	II	673572	675134	-	1563	543	457	459	353	695	705
YBR218C	II	658707	662249	-	3543	5389	4656	5738	4800	4745	4955
YBR244W	II	707528	708016	+	489	1002	1058	934	13375	24520	24601
YBR160W	II	560078	560974	+	897	645	528	495	1674	1198	1277
YBL080C	II	73070	74695	-	1626	172	159	152	349	496	456
YBR083W	II	409169	410629	+	1461	714	685	614	338	290	247
YBR294W	II	789235	791814	+	2580	531	456	454	763	597	446
tI(AAU)B	II	197494	197567	+	74	0	0	0	0	0	0
YBR091C	II	427155	427484	-	330	230	181	231	330	228	167
YBR284W	II	771239	773632	+	2394	68	70	69	242	254	207
YBR158W	II	556549	558198	+	1650	5085	5233	5277	1393	1387	1245
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	244	217	158	309	476	450
YBL071C	II	90223	90531	-	309	240	199	207	52	43	32
YBR126W-B	II	490927	491070	+	144	36	33	26	61	68	79
YBR229C	II	676357	679221	-	2865	2032	2012	2394	1734	2888	2267
YBR042C	II	320416	321609	-	1194	1535	1239	1440	1413	1228	1086
YBR150C	II	541209	544493	-	3285	353	325	342	725	837	828
YBR298C	II	802631	804475	-	1845	307	227	227	902	370	272
YBR143C	II	530869	532182	-	1314	8741	7572	7559	2572	2042	2108
YBR014C	II	266725	267336	-	612	552	476	497	1344	1034	1042
tS(AGA)B	II	227075	227156	+	82	0	0	1	0	0	0
YBR259W	II	730387	732453	+	2067	513	490	413	227	527	403
YBR060C	II	360652	362514	-	1863	861	651	654	587	552	560
YBR180W	II	589741	591459	+	1719	99	106	117	118	94	77
YBL034C	II	153848	158389	-	4542	628	512	605	342	440	403
YBR212W	II	647886	649904	+	2019	1051	1049	1172	4244	4048	3088
YBR071W	II	380411	381046	+	636	569	700	572	1115	1248	1117
YBL074C	II	86722	87789	-	1068	228	171	169	284	219	182
YBL107C	II	9961	10551	-	591	445	302	284	399	361	304
YBR097W	II	436951	441315	+	4365	696	500	608	820	772	714
YBR136W	II	505668	512774	+	7107	759	637	811	1049	812	696
YBR039W	II	315575	316510	+	936	1372	1398	1285	1734	2956	2906
YBL089W	II	49574	50953	+	1380	640	636	747	975	846	834
YBL067C	II	93639	95882	-	2244	1827	1356	1537	1459	1154	980
YBR270C	II	742761	744398	-	1638	215	205	206	282	240	175
YBR087W	II	423765	424829	+	1065	932	769	799	932	922	909
YBR121C	II	481364	483367	-	2004	12395	11255	13334	3580	3603	4019
YBR026C	II	292877	294019	-	1143	884	750	847	3947	3034	3010
YBR197C	II	615203	615856	-	654	531	427	430	547	408	315
YBR027C	II	294024	294356	-	333	25	21	31	8	14	10
YBR177C	II	584807	586162	-	1356	1046	1048	1315	4698	3805	3615
YBR176W	II	583720	584658	+	939	301	356	311	450	649	536
YBR230W-A	II	680362	680562	+	201	62	53	56	217	216	162
YBR090C	II;II	426333;426874	426516;427058	-;-	369	26	6	16	30	20	14
YBL071C-B	II	89458	89556	-	99	6	3	4	3	1	4
YBR064W	II	367763	368191	+	429	0	1	0	0	1	0
YBR044C	II	324341	326059	-	1719	524	402	410	1288	994	796
YBL068W	II	92414	93394	+	981	1518	1296	1311	365	369	382
YBR216C	II	655576	657600	-	2025	730	652	610	2141	1541	1516
YBR271W	II	744852	746111	+	1260	915	791	779	112	105	88
YBR084W	II	411054	413981	+	2928	8187	6665	9063	513	662	923
YBR065C	II	368584	369678	-	1095	390	296	293	360	329	338
YBR245C	II	708150	711539	-	3390	1780	1382	1462	1595	1288	1174
YBR085W	II	415983	416906	+	924	491	440	477	128	144	157
YBR059C	II	356861	360187	-	3327	1344	1126	1235	3488	2842	2496
YBR068C	II	373861	375690	-	1830	8923	9801	9723	12938	10799	8281
YBR285W	II	773922	774356	+	435	22	13	18	84	61	72
YBR041W	II	318266	320275	+	2010	2012	1982	2263	2623	2762	2065
YBR252W	II	722611	723054	+	444	1341	1045	1291	610	561	487
YBL082C	II	69751	71127	-	1377	1644	1298	1563	1256	807	586
YBL002W	II	236492	236887	+	396	8581	8861	9033	461	717	789
YBL098W	II	39145	40527	+	1383	678	591	652	965	765	754
YBR117C	II	474392	476437	-	2046	338	301	346	520	325	251
YBR214W	II	651415	652998	+	1584	705	592	628	6803	6081	5881
YBR169C	II	573915	575996	-	2082	280	285	310	6695	8923	12152
YBR207W	II	635146	636543	+	1398	1239	1162	1206	4386	4155	3429
YBR155W	II	549771	550928	+	1158	781	817	589	66	254	231
YBL106C	II	10847	13879	-	3033	754	634	780	874	551	444
YBR237W	II	691969	694518	+	2550	484	396	373	763	849	818
YBR193C	II	609082	609753	-	672	382	346	363	922	802	768
YBR149W	II	539987	541021	+	1035	1739	1600	1764	15125	8742	7317
YBR013C	II	265492	265881	-	390	144	110	126	434	354	337
YBL063W	II	101886	105221	+	3336	483	439	440	249	375	421
YBL029C-A	II	164488	164772	-	285	113	145	126	210	231	260
YBR147W	II	536575	537465	+	891	18	19	15	339	307	372
YBR246W	II	711591	712754	+	1164	1274	1111	1191	1574	1107	966
YBR002C	II	241708	242568	-	861	700	564	503	380	437	389
YBR023C	II	284428	287925	-	3498	4305	3881	4470	3335	2469	1750
YBL088C	II	51019	59382	-	8364	1222	1033	1053	1032	1067	918
YBL064C	II	100371	101156	-	786	492	477	463	22700	15926	11623
YBL007C	II	212632	216366	-	3735	3934	3722	4285	7111	6332	5840
tL(UAA)B2	II	347603	347686	+	84	0	1	0	1	0	0
YBL093C	II	44256	44918	-	663	916	713	643	526	424	475
YBL091C	II	47363	48628	-	1266	3140	2038	2508	4532	3625	3549
YBR142W	II	528317	530638	+	2322	2733	2060	1747	151	197	200
YBR047W	II	331833	332360	+	528	72	43	50	1077	2186	2006
YBR238C	II	695107	697302	-	2196	1315	1253	1102	120	214	139
YBR067C	II	372103	372735	-	633	7919	7668	8946	7338	10964	13778
YBR010W	II	256331	256741	+	411	6603	5503	5035	1025	1483	1681
YBL054W	II	117589	119166	+	1578	1651	1438	1467	82	102	84
YBR209W	II	642583	642900	+	318	20	17	10	71	61	39
YBL060W	II	107932	109995	+	2064	443	410	330	603	557	510
YBR089W	II	425183	425782	+	600	3	4	1	5	5	3
YBR025C	II	290681	291865	-	1185	15722	14087	15446	11263	11122	12833
YBR040W	II	316968	317864	+	897	11	19	23	4	10	9
YBR230C	II;II	679549;680040	679942;680050	-;-	405	286	291	306	1332	999	777
YBL027W	II;II	168423;168809	168424;169376	+;+	570	28807	22297	22529	3925	5811	8681
YBL100C	II	36989	37303	-	315	87	105	114	55	257	216
YBR261C	II	734832	735530	-	699	1044	870	976	1071	1034	870
YBR034C	II	304930	305976	-	1047	3586	2960	3087	633	565	315
YBR101C	II	443821	444693	-	873	1344	1214	1047	3695	5775	10344
YBL010C	II	206107	206949	-	843	200	166	154	297	292	295
YBR053C	II	339675	340751	-	1077	551	486	624	6858	4180	3691
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	246	192	191	447	455	446
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	150	185	142	339	245	222
YBL042C	II	138341	140260	-	1920	2850	2540	2622	204	219	167
YBL039C	II	143989	145728	-	1740	8788	6560	7699	130	155	134
YBR217W	II	657832	658392	+	561	193	141	113	155	298	314
YBR200W-A	II	622983	623147	+	165	0	0	1	2	2	2
YBL003C	II	235394	235792	-	399	7115	6515	6254	738	963	1287
YBR069C	II	376574	378433	-	1860	8431	7097	7985	2928	2497	1811
YBR056W-A	II	351255	351455	+	201	3	5	2	6	12	3
YBR009C	II	255373	255684	-	312	4145	3940	3606	473	661	780
YBL038W	II	146187	146885	+	699	402	309	277	717	696	673
YBR056C-B	II	351293	351451	-	159	0	0	0	0	0	0
YBR081C	II	401253	405251	-	3999	1312	937	888	1309	1322	1240
YBR007C	II	248806	251016	-	2211	452	450	391	575	680	711
YBR146W	II	535260	536096	+	837	1010	833	891	1948	1223	1039
YBR171W	II	578364	578984	+	621	1125	1155	1066	680	952	957
YBL028C	II	167518	167838	-	321	1184	795	749	22	100	93
YBR135W	II	504854	505306	+	453	369	396	393	156	282	178
YBR264C	II	737770	738369	-	600	276	204	196	249	300	276
YBR043C	II	321876	323945	-	2070	1494	1181	1238	1420	1150	888
YBL059W	II;II	110594;110949	110879;111244	+;+	582	110	94	121	349	227	223
YBR131W	II	497163	499277	+	2115	212	278	159	174	444	456
YBR233W-A	II	684977	685261	+	285	321	238	225	111	99	126
YBR092C	II	427698	429101	-	1404	5561	5637	6774	400	390	464
YBR126C	II	488905	490392	-	1488	1664	1475	1589	27850	17129	14702
YBR057C	II	352193	353293	-	1101	499	498	458	667	908	968
YBR086C	II	420201	423041	-	2841	7376	7128	8303	5842	5281	4436
YBR174C	II	582338	582652	-	315	4	2	2	4	7	12
snR56	II	88190	88277	+	88	2	5	4	0	1	2
YBR281C	II	764970	767606	-	2637	1127	1084	1087	1058	818	747
YBL103C	II	22076	23536	-	1461	513	489	507	636	811	947
tG(GCC)B	II	197629	197699	-	71	0	0	0	0	0	0
YBR159W	II	558685	559728	+	1044	3337	3253	3652	3900	3201	2822
YBR118W	II	477671	479047	+	1377	29519	21905	28110	12730	13393	16865
YBL004W	II	227636	235117	+	7482	5705	5417	6052	210	322	280
YBR163W	II	565723	567480	+	1758	902	816	767	487	416	399
YBL013W	II	202056	203261	+	1206	78	75	79	130	113	70
YBL112C	II	2582	2899	-	318	0	0	2	0	0	0
YBR231C	II	682179	683090	-	912	243	193	211	475	399	337
YBL066C	II	96669	100115	-	3447	439	390	440	459	501	494
YBR008C	II	252563	254209	-	1647	866	746	768	13030	12913	12607
YBL015W	II	194122	195702	+	1581	418	444	497	1397	1374	1491
YBR038W	II	311898	314789	+	2892	2098	1715	1990	478	260	180
YBL018C	II;II	185998;186428	186352;186474	-;-	402	674	461	445	140	151	113
YBR253W	II	723270	723635	+	366	325	299	304	379	490	499
YBL068W-A	II	91794	92030	+	237	0	0	0	0	0	0
YBR058C	II	353672	356017	-	2346	1466	1410	1364	1935	1538	1257
YBL084C	II	67169	69445	-	2277	439	527	521	314	627	585
YBR224W	II	670125	670640	+	516	2	4	3	11	17	6
YBR077C	II	391805	392293	-	489	569	479	528	1556	900	870
YBL087C	II;II	59822;60698	60193;60739	-;-	414	14928	11818	13289	1416	2364	3271
YBR098W	II	441515	443590	+	2076	267	220	219	343	369	397
YBR239C	II	698354	699943	-	1590	437	360	435	455	372	301
YBR168W	II	572371	573612	+	1242	461	358	395	365	386	336
YBL046W	II	132424	133749	+	1326	462	360	362	531	469	508
YBR003W	II	242809	244230	+	1422	606	691	692	1282	1669	1419
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	544	490	426	535	507	549
LSR1	II	680688	681862	-	1175	307	272	83	191	105	106
YBL025W	II	171481	171918	+	438	215	169	159	326	236	205
YBR105C	II	450881	451969	-	1089	518	454	443	665	558	463
YBR200W	II	620872	622527	+	1656	815	717	677	1120	1154	1115
YBR190W	II	605966	606277	+	312	3	9	3	6	3	0
YBR248C	II	714807	716465	-	1659	2269	2039	1954	1742	1896	1998
YBR145W	II	533762	534817	+	1056	772	641	636	9937	9421	7692
YBL047C	II	127895	132040	-	4146	5390	4584	5871	13846	10707	8799
YBR099C	II	442924	443307	-	384	0	0	0	0	0	0
YBL014C	II	199064	201748	-	2685	1287	976	1074	758	487	461
YBR062C	II;II	365976;366585	366502;366600	-;-	543	363	286	236	1258	1081	1086
YBL092W	II	45978	46370	+	393	35776	27695	27772	3651	5886	8619
YBR240C	II	700490	701842	-	1353	66	66	79	200	155	130
YBR251W	II	721390	722313	+	924	397	294	250	869	553	577
YBR199W	II	618909	620303	+	1395	2327	2148	2429	5184	4602	4954
YBR128C	II	493081	494115	-	1035	70	61	74	177	211	211
YBR139W	II	515664	517190	+	1527	625	718	753	6122	6898	5832
YBL070C	II	90605	90925	-	321	8	14	4	3	3	1
YBR054W	II	343101	344135	+	1035	218	232	223	4390	6462	7353
YBL039W-B	II	143393	143572	+	180	74	47	43	130	138	118
YBR072W	II	382030	382674	+	645	117	161	173	6060	8482	13723
YBR111C	II	461178	461873	-	696	1523	1203	1384	5483	4515	4103
YBL001C	II	237153	237467	-	315	966	820	859	2450	2059	1964
YBR110W	II	458872	460221	+	1350	1269	1186	1365	2911	2123	1877
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	17	8	6	9	8	4
YBL036C	II	150447	151220	-	774	1468	1178	1073	1051	1057	1056
tR(UCU)B	II	405878	405949	+	72	0	0	0	0	0	0
YBL094C	II	43765	44097	-	333	1	0	1	0	4	0
YBR033W	II	301944	304703	+	2760	409	430	517	350	349	204
YBL073W	II	87646	87957	+	312	3	4	3	3	3	4
YBR096W	II	436021	436713	+	693	1793	1751	1977	3593	2408	1827
YBL053W	II	119335	119709	+	375	0	3	1	2	0	1
YBR030W	II	298292	299950	+	1659	798	713	740	227	167	142
YBL076C	II	81043	84261	-	3219	16930	16472	18968	7192	8566	7948
YBR256C	II	727386	728102	-	717	1240	1059	990	3350	5224	5152
YBR162W-A	II	565231	565428	+	198	785	762	567	149	455	516
YBL077W	II	80897	81328	+	432	107	117	101	37	50	35
YBR156C	II	551104	553200	-	2097	346	302	279	321	270	263
YBL012C	II	203406	203807	-	402	22	23	18	32	14	19
YBL008W-A	II	209409	209648	+	240	4	4	3	11	4	4
YBR297W	II	800523	801929	+	1407	328	303	335	901	363	262
YBR189W	II;II	604508;604928	604514;605508	+;+	588	40953	33366	35583	2984	4453	7180
YBL096C	II	43174	43482	-	309	17	17	13	10	7	7
YBR011C	II	257112	257975	-	864	13989	12242	14678	19346	15025	14610
YBL041W	II	141247	141972	+	726	2653	2172	2068	4648	4378	3924
YBL081W	II	71866	72972	+	1107	1559	1381	1464	368	456	256
YBR089C-A	II	426190	426489	-	300	534	378	442	907	659	492
YBR103C-A	II	449320	449463	-	144	1	3	2	1	4	3
YBR296C	II	796798	798522	-	1725	2317	2221	1860	240	318	343
YBL040C	II;II	142112;142847	142749;142868	-;-	660	2005	2029	1913	2673	2457	1932
YBR165W	II	568852	569685	+	834	316	336	294	546	446	471
YBL026W	II;II	170623;170805	170676;171038	+;+	288	955	780	774	502	638	608
YBR082C	II;II	406628;407123	407027;407169	-;-	447	4709	4669	4396	6793	11093	11920
YBR280C	II	762784	764697	-	1914	240	207	223	1425	1394	1445
YBR061C	II	364787	365719	-	933	816	852	709	192	230	219
YBL016W	II	192451	193512	+	1062	636	682	679	471	457	357
YBR175W	II	582408	583355	+	948	740	616	683	1131	756	609
YBR029C	II	296369	297742	-	1374	2275	2342	2583	854	749	553
YBL057C	II	112801	113427	-	627	1093	832	1027	1260	865	829
YBR298C-A	II	805035	805256	-	222	3	0	2	1	2	0
YBR192W	II	607652	608785	+	1134	504	456	447	456	441	365
tQ(UUG)B	II	350827	350898	+	72	0	0	0	2	0	2
YBR302C	II	810340	811479	-	1140	46	33	33	116	67	52
YBR254C	II	723736	724263	-	528	463	327	320	658	446	527
YBR204C	II	632254	633381	-	1128	263	290	260	1069	1678	1677
YBR220C	II	662995	664677	-	1683	1498	1215	1417	831	639	492
YBR222C	II	666720	668351	-	1632	2193	2299	2466	6005	4713	3558
YBR290W	II	782591	783556	+	966	442	446	321	576	859	993
YBR162C	II	563203	564570	-	1368	25497	23263	28411	7360	8734	8026
YBR167C	II	571468	571890	-	423	236	181	176	239	276	303
YBL033C	II	158656	159693	-	1038	442	370	296	2017	2181	2509
YBR228W	II	675313	676227	+	915	307	260	234	339	366	338
YBR263W	II	736264	737736	+	1473	6016	5334	6893	3014	2389	2412
YBR250W	II	719033	720604	+	1572	64	69	69	63	88	76
YBR272C	II	746361	747803	-	1443	647	479	562	2317	1579	1600
YBR120C	II	480435	480923	-	489	126	115	98	147	203	233
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	19037	14713	14929	3860	5624	7953
YBL062W	II	105308	105688	+	381	2	1	0	0	1	0
YBR301W	II	809057	809419	+	363	16	2	8	8	1	6
YBR076W	II	390227	391291	+	1065	49	51	45	116	122	71
YBR210W	II	645550	645978	+	429	461	355	411	612	488	397
YBR106W	II	452658	453224	+	567	14886	10109	12205	5128	4115	3899
YBR005W	II	245906	246547	+	642	338	525	362	703	452	412
YBR153W	II	547460	548194	+	735	414	285	281	282	222	249
YBR132C	II	499652	501442	-	1791	173	166	213	858	1180	1136
YBR166C	II	569842	571200	-	1359	862	739	672	1369	1305	1158
YBR221W-A	II	666538	666642	+	105	13	19	12	44	40	34
YBR131C-A	II	497650	497739	-	90	0	0	0	0	0	0
YBR161W	II	561634	562764	+	1131	324	369	373	327	415	404
YBR109C	II	457919	458362	-	444	3546	3072	3356	7447	5437	5207
YBR255W	II	724456	726540	+	2085	460	282	282	1177	1187	1150
YBR205W	II	633622	634836	+	1215	2149	1891	2295	2303	1565	1305
YBR296C-A	II	800123	800242	-	120	6	7	1	5	2	2
YBL043W	II	136688	137461	+	774	30	43	32	396	527	393
YBR130C	II	495592	496869	-	1278	946	755	744	1320	1429	1464
YBR206W	II	634601	634924	+	324	62	66	74	61	23	38
YBR122C	II	483970	484503	-	534	787	585	558	2253	1211	1120
YBR295W	II	792849	796499	+	3651	929	694	839	1507	1303	1056
YBR004C	II	244366	245667	-	1302	979	1234	1145	507	496	330
YBR202W	II	625772	628309	+	2538	1380	1210	1334	709	510	438
YBR001C	II	238941	241283	-	2343	505	480	529	1883	1236	983
YBL113C	II	280	2658	-	2379	146	109	133	147	111	62
YBR288C	II	778012	779463	-	1452	901	924	890	801	1012	904
YBR282W	II	768240	768680	+	441	230	176	192	475	448	443
YBL072C	II	88523	89125	-	603	14306	9886	10742	2299	2936	4052
YBR103W	II	447709	449316	+	1608	576	443	443	1098	833	910
YBR107C	II	453793	454530	-	738	371	332	359	603	507	453
YBL024W	II	172534	174588	+	2055	3290	2549	2932	574	505	530
YBR012C	II	259147	259566	-	420	188	151	113	102	404	354
YBR188C	II	603685	604107	-	423	183	198	161	183	188	202
YBL075C	II	84499	86448	-	1950	666	557	568	1491	1323	1194
YBR102C	II	445062	447323	-	2262	726	562	563	1343	1043	988
YBR006W	II	247010	248503	+	1494	287	293	318	2182	1815	1554
YBL051C	II	122753	124759	-	2007	1756	1652	1761	851	1809	1769
YBR196C	II	612236	613900	-	1665	49943	52322	53838	72281	68318	52865
YBL031W	II	161699	162715	+	1017	240	199	178	76	94	88
YBR141W-A	II	527167	527262	+	96	0	0	0	0	0	0
YBL006W-A	II	216711	216860	+	150	0	0	0	0	0	0
YBL100W-C	II	28427	28546	+	120	12	10	11	27	21	11
YBR236C	II	690383	691693	-	1311	1070	847	852	1954	1709	1767
YBR276C	II	757620	760043	-	2424	1952	1674	1881	1579	1634	1499
YBR036C	II	309081	310313	-	1233	4996	4478	5094	10759	8653	7125
YBR045C	II	328173	330092	-	1920	138	121	123	599	417	314
YBR291C	II	783673	784572	-	900	604	483	555	479	303	252
YBR137W	II	513044	513583	+	540	543	393	366	8896	7241	6794
YBR079C	II	395383	398277	-	2895	8173	7328	8061	2936	2656	2544
YBR017C	II	270947	273703	-	2757	2885	2697	2858	1890	1888	1583
YBL044W	II	135998	136366	+	369	11	6	4	5	8	6
YBL023C	II	174920	177526	-	2607	848	662	779	678	507	463
YBR127C	II	491269	492822	-	1554	10098	7645	10549	11509	7554	8622
YBR152W	II	546376	547251	+	876	187	138	154	100	129	142
YBR035C	II	306269	306955	-	687	1441	1222	1220	6216	4234	4177
YBR289W	II	779667	782384	+	2718	589	472	393	538	548	510
YBL017C	II	186844	191583	-	4740	4508	4004	4940	6181	4415	3456
YBR157C	II	553543	554310	-	768	295	322	338	389	353	314
YBL104C	II	18177	21293	-	3117	673	644	660	660	684	583
YBL109W	II	5790	6125	+	336	9	2	6	1	0	5
tL(UAA)B1	II	9583	9666	+	84	0	0	0	1	2	0
YBR072C-A	II	382860	383021	-	162	1	1	1	1	0	1
YBR300C	II	808600	809097	-	498	2	4	1	5	2	3
YBR195C	II	610614	611882	-	1269	472	508	492	1400	1004	728
YBR233W	II	683428	684669	+	1242	164	176	177	88	346	321
YBR262C	II	735720	736040	-	321	258	259	197	612	609	505
YBR020W	II	279021	280607	+	1587	321	273	350	479	249	175
YBR085C-A	II	418907	419164	-	258	546	572	451	8704	7255	6867
YBR123C	II	484742	486691	-	1950	464	367	362	544	620	593
YBR221C	II	665153	666253	-	1101	10926	10893	12789	16786	12972	10478
YBL029W	II	166134	167264	+	1131	195	204	152	231	187	141
YBL045C	II	134143	135516	-	1374	1256	1392	1395	1783	2445	2500
YBR191W-A	II	607149	607223	+	75	253	155	184	15	30	27
YBR154C	II	548362	549009	-	648	1687	1390	1103	240	507	535
YBR278W	II	760294	760899	+	606	124	118	96	258	163	164
YBR273C	II	748061	749371	-	1311	636	522	484	2214	1812	1973
YBR032W	II	301519	301821	+	303	38	53	45	20	24	16
YBR048W	II;II	332831;333387	332875;333812	+;+	471	19113	15609	17986	2528	3953	4639
YBR104W	II	449667	450656	+	990	1284	1023	1051	168	262	316
YBL079W	II	75259	79767	+	4509	2970	2767	3274	1320	1452	1227
YBR265W	II	738582	739544	+	963	1728	1526	1870	758	518	485
YBR249C	II	716882	717994	-	1113	9824	8994	10031	3510	4445	5108
YBR203W	II	629168	631942	+	2775	281	277	275	633	558	478
YBR184W	II	597363	598934	+	1572	72	83	67	18	20	43
YBR170C	II	576344	578086	-	1743	847	733	684	4024	2477	2021
YBR173C	II	581726	582172	-	447	1221	1136	1380	4405	3566	2588
YBR133C	II	501804	504287	-	2484	1933	1568	1830	1702	1103	733
YBR275C	II	751356	757106	-	5751	1293	1125	943	298	650	565
YBL108W	II	8177	8482	+	306	0	0	0	2	0	0
YBL113W-A	II	646	1128	+	483	0	0	0	0	0	0
YBL085W	II	63876	66818	+	2943	1155	1325	1056	962	1569	1601
YBL052C	II	119379	121874	-	2496	632	611	592	132	307	265
YBL009W	II	207194	209224	+	2031	1356	1228	1224	640	610	481
YBR283C	II	768943	770415	-	1473	12051	10201	13471	8814	6737	5560
YBR094W	II	432036	434297	+	2262	1024	933	914	805	600	541
YBR258C	II	729734	730162	-	429	93	69	75	98	124	179
YBR201W	II	623576	624211	+	636	234	213	182	372	420	407
YBR070C	II	379221	379934	-	714	667	550	660	2626	1651	1321
tE(UUC)B	II	645167	645238	+	72	0	0	0	0	1	0
YBR198C	II	616127	618523	-	2397	1352	1110	1148	1487	1275	1199
YBL056W	II	113762	115168	+	1407	4039	3352	4035	9877	8024	7532
YBL099W	II	37053	38690	+	1638	3764	4194	4252	3086	9898	8042
YBR257W	II	728885	729724	+	840	367	244	221	119	213	194
YBR126W-A	II	490850	491056	+	207	158	142	144	277	325	304
YBR242W	II	704670	705386	+	717	1001	797	867	379	283	280
YBL008W	II	209653	212175	+	2523	827	638	635	912	598	511
YBR181C	II;II	591712;592769	592416;592774	-;-	711	11555	9120	10412	1035	1441	2219
tC(GCA)B	II	643007	643078	-	72	0	0	0	1	2	1
YBR052C	II	338720	339352	-	633	946	723	837	7270	4769	4423
YBR093C	II	429548	430951	-	1404	1566	1719	1925	959	1105	1058
YBR049C	II	334386	336818	-	2433	1579	1175	1340	1022	859	829
YBR056W	II	347879	349384	+	1506	635	599	584	5167	4036	4194
YBL030C	II	163041	163997	-	957	5165	5081	6155	4993	4294	2931
tT(AGU)B	II	266378	266450	+	73	0	0	0	0	1	0
YBR141C	II	527025	528038	-	1014	326	252	236	297	189	150
YBR226C	II	673155	673565	-	411	15	12	12	29	36	25
YBL005W	II	217470	220400	+	2931	1681	1408	1489	1566	1580	1328
YBR151W	II	545028	545978	+	951	1352	1215	1318	8144	6791	6719
YBR144C	II	533235	533549	-	315	3	2	5	4	7	6
YBR178W	II	586071	586445	+	375	3	5	1	9	7	8
YBR138C	II	513762	515336	-	1575	170	129	110	97	109	111
YBL090W	II	48825	49358	+	534	441	331	290	894	518	581
YBL105C	II	14241	17696	-	3456	1932	1523	1491	3203	2610	2372
YBL102W	II	24098	24745	+	648	1199	1097	1193	1120	2141	1739
YBL011W	II	203538	205817	+	2280	1956	1677	2092	2278	1546	1268
YBR095C	II	434406	435698	-	1293	361	349	262	230	414	432
YBR196C-B	II	614526	614630	-	105	35	30	32	24	41	20
YBL048W	II	127299	127610	+	312	43	40	34	72	132	129
YBR066C	II	370037	370699	-	663	202	193	124	80	60	76
YBR292C	II	784702	785073	-	372	28	29	30	22	11	8
YBR018C	II	274427	275527	-	1101	35	34	41	166	169	152
YBR194W	II	610038	610409	+	372	131	112	87	235	170	147
YBR076C-A	II	391351	391617	-	267	137	124	135	233	192	148
YBR108W	II	454822	457665	+	2844	386	370	370	1642	1417	1147
YBR046C	II	330507	331511	-	1005	251	235	240	4666	3460	2852
YBR235W	II	686901	690263	+	3363	1837	1612	2045	2758	1902	1368
YBR274W	II	749594	751177	+	1584	792	770	846	1064	1097	912
YBL006C	II	216587	217129	-	543	509	410	462	953	757	725
YBR186W	II;II	600553;602217	602103;602360	+;+	1695	293	262	233	133	91	84
YBR277C	II	760215	760616	-	402	1	3	0	0	0	2
YBR185C	II	599123	599959	-	837	289	352	354	835	672	573
YBL078C	II	80378	80731	-	354	43	54	49	227	835	1004
YBR037C	II	310565	311452	-	888	341	292	335	1343	687	621
YBR015C	II	267710	269503	-	1794	4061	3814	4439	2458	2019	1644
YBR016W	II	270247	270633	+	387	571	534	584	1280	1087	949
YBL107W-A	II	9268	9372	+	105	1	0	0	0	0	0
YBL071W-A	II	89978	90226	+	249	285	287	250	61	56	45
YBR269C	II	742160	742576	-	417	262	232	256	1911	1286	1006
YBR266C	II	739936	740388	-	453	0	0	0	0	0	0
YBR055C	II	344602	347301	-	2700	1163	880	834	942	798	728
YBR088C	II	424990	425766	-	777	185	204	181	118	136	129
tV(UAC)B	II	326792	326865	-	74	0	0	0	3	1	0
